label,info,image path,page url
himalayan monal,"The Himalayan monal (Lophophorus impejanus), also called Impeyan monal and Impeyan pheasant, is a pheasant native to Himalayan forests and shrublands at elevations of 2,100–4,500 m (6,900–14,800 ft). It is part of the family Phasianidae and is listed as Least Concern on the IUCN Red List.",https://upload.wikimedia.org/wikipedia/commons/0/08/Himalayan_Monal_Adult_Female_Tungnath_Rudraprayag_Uttarakhand_India_14.06.2013.jpg,https://en.wikipedia.org/wiki/Himalayan_monal
hoatzin,"The hoatzin ( hoh-AT-sin) or hoactzin ( hoh-AKT-sin), (Opisthocomus hoazin), is the only species in the order Opisthocomiformes. It is a species of tropical bird found in swamps, riparian forests, and mangroves of the Amazon and the Orinoco basins in South America.",https://upload.wikimedia.org/wikipedia/commons/e/e7/Hoatzin_-_Manu_NP_-_Per%C3%B9_9203_%2815525812066%29.jpg,https://en.wikipedia.org/wiki/Hoatzin
hooded merganser,The hooded merganser (Lophodytes cucullatus) is a species of merganser. It is the only extant species in the genus Lophodytes.,https://upload.wikimedia.org/wikipedia/commons/2/2b/Chelychelynechen_quassus.jpg,https://en.wikipedia.org/wiki/Hooded_merganser
hoopoes,"Hoopoes () are colourful birds found across Africa, Asia, and Europe, notable for their distinctive ""crown"" of feathers. Three living and one extinct species are recognized, though for many years all of the extinct species were lumped as a single species—Upupa epops.",https://upload.wikimedia.org/wikipedia/commons/6/69/10_ZhaoMengfu-_Hoopoe_on_Bamboo._Shanghai_mus..jpg,https://en.wikipedia.org/wiki/Hoopoe
horned guan,"The guans are a number of bird genera which make up the largest group in the family Cracidae. They are found mainly in northern South America, southern Central America, and a few adjacent Caribbean islands.",NO IMG,https://en.wikipedia.org/wiki/Guan_(bird)
horned lark,"The horned lark or shore lark (Eremophila alpestris) is a species of lark in the family Alaudidae found across the northern hemisphere. It is known as ""horned lark"" in North America and ""shore lark"" in Europe.",https://upload.wikimedia.org/wikipedia/commons/3/34/Eremophila_alpestris_-British_Columbia%2C_Canada-8.jpg,https://en.wikipedia.org/wiki/Horned_lark
horned sungem,"The International Ornithological Committee (IOC) recognizes these 362 hummingbird species in family Trochilidae, and distributes them among 112 genera. Two extinct species known only from 19th century specimens, Brace's emerald and Gould's emerald, are included.",NO IMG,https://en.wikipedia.org/wiki/List_of_hummingbird_species
house finch,The house finch (Haemorhous mexicanus) is a bird in the finch family Fringillidae. It is native to western North America and has been introduced to the eastern half of the continent and Hawaii.,https://upload.wikimedia.org/wikipedia/commons/9/93/Carpodacus_mexicanus6.jpg,https://en.wikipedia.org/wiki/House_finch
house sparrow,"The house sparrow (Passer domesticus) is a bird of the sparrow family Passeridae, found in most parts of the world. It is a small bird that has a typical length of 16 cm (6.3 in) and a mass of 24–39.5 g (0.85–1.39 oz).",https://upload.wikimedia.org/wikipedia/commons/7/74/Cat-eating-prey.jpg,https://en.wikipedia.org/wiki/House_sparrow
hyacinth macaw,"The hyacinth macaw (Anodorhynchus hyacinthinus), or hyacinthine macaw, is a parrot native to central and eastern South America. With a length (from the top of its head to the tip of its long pointed tail) of about one meter it is longer than any other species of parrot.",https://upload.wikimedia.org/wikipedia/commons/c/ce/Anodorhynchus_hyacinthinus_-Disney_-Florida-8.jpg,https://en.wikipedia.org/wiki/Hyacinth_macaw
iberian magpie,The Iberian magpie (Cyanopica cooki) is  a bird in the crow family. It is 31–35 cm (12–14 in) long and similar in overall shape to the Eurasian magpie (Pica pica) but is more slender with proportionately smaller legs and bill.,https://upload.wikimedia.org/wikipedia/commons/e/e4/Iberian_magpie_%28Cyanopica_cooki%29%2C_Parque_natural_de_la_Sierra_de_And%C3%BAjar%2C_Espa%C3%B1a_%2832602677484%29.jpg,https://en.wikipedia.org/wiki/Iberian_magpie
ibisbill,"The ibisbill  (Ibidorhyncha struthersii) is a bird related to the waders, but sufficiently distinctive to merit its own family Ibidorhynchidae. It is grey with a white belly, red legs and long down-curved bill, and a black face and black breast band.",https://upload.wikimedia.org/wikipedia/commons/c/c5/Ibisbill.jpg,https://en.wikipedia.org/wiki/Ibisbill
imperial shaq,"City Brewing Company is a large brewery located in La Crosse, Wisconsin, USA. It also goes by the trade name of City Brewery.


== History ==
In 1999 the old G. Heileman Brewing Company's former brewery buildings in La Crosse were bought by a group of investors who founded the City Brewing Company.",NO IMG,https://en.wikipedia.org/wiki/City_Brewing_Company
inca tern,The  Inca tern (Larosterna inca) is a tern in the family Laridae. It is the only member of the genus Larosterna.,https://upload.wikimedia.org/wikipedia/commons/3/35/Larosterna_inca_-Lima%2C_Peru_-family-8.jpg,https://en.wikipedia.org/wiki/Inca_tern
indian bustard,"The great Indian bustard (Ardeotis nigriceps) or Indian bustard, is a bustard found on the Indian subcontinent. A large bird with a horizontal body and long bare legs, giving it an ostrich like appearance, this bird is among the heaviest of the flying birds.",https://upload.wikimedia.org/wikipedia/commons/3/3a/BustardEggsFinn.jpg,https://en.wikipedia.org/wiki/Great_Indian_bustard
indian pitta,"Pitta Kathalu (transl. Short stories) is a 2021 Indian Telugu-language anthology drama film consisting of four short film segments, directed by Nag Ashwin, B. V. Nandini Reddy, Tharun Bhascker and Sankalp Reddy. The film features an ensemble cast of Amala Paul, Ashwin Kakumanu, Eesha Rebba, Jagapati Babu, Lakshmi Manchu, Ashima Narwal, Saanve Megghana, Sanjith Hegde and Shruti Haasan, amongst others.",NO IMG,https://en.wikipedia.org/wiki/Pitta_Kathalu
indian roller,"India, officially the Republic of India, is a country in South Asia. It is made up of 28 states and 8 union territories.",NO IMG,https://en.wikipedia.org/wiki/List_of_Indian_state_birds
indian vulture,"The Indian vulture (Gyps indicus) is an Old World vulture native to India, Pakistan and Nepal. It has been listed as Critically Endangered on the IUCN Red List since 2002, as the population severely declined.",https://upload.wikimedia.org/wikipedia/commons/6/6a/Indian_Vulture_at_Madhav_National_Park%2C_Shivpuri%2C_M.P.jpg,https://en.wikipedia.org/wiki/Indian_vulture
indigo bunting,"The indigo bunting (Passerina cyanea) is a small seed-eating bird in the cardinal family, Cardinalidae. It is migratory, ranging from southern Canada to northern Florida during the breeding season, and from southern Florida to northern South America during the winter.",https://upload.wikimedia.org/wikipedia/commons/b/bf/Indigo_Bunting_Female_by_Dan_Pancamo_1.jpg,https://en.wikipedia.org/wiki/Indigo_bunting
indigo flycatcher,"The indigo flycatcher (Eumyias indigo) is a species of bird in the Old World flycatcher family Muscicapidae.
It is found in Indonesia and Malaysia, where it is found in Sumatra, Java and northern montane areas of Borneo.",https://upload.wikimedia.org/wikipedia/commons/b/b1/Indian_Robin_%28F%29_I-Haryana_IMG_8045.jpg,https://en.wikipedia.org/wiki/Indigo_flycatcher
inland dotterel,The inland dotterel (Peltohyas australis) is an endemic bird of the arid Australian interior. It forms loose flocks in sparsely vegetated gibber plain and claypans in the day where it loafs in the shade and eats shoots of shrubs.,https://upload.wikimedia.org/wikipedia/commons/0/02/Emu_volume_9_plate_16.jpg,https://en.wikipedia.org/wiki/Inland_dotterel
ivory billed aracari,"The ivory-billed araçari (Pteroglossus azara), is a species of bird in the family Ramphastidae. It was named after the naturalist Félix de Azara.",https://upload.wikimedia.org/wikipedia/commons/0/0a/Ivory-billed_Aracari_RWD2.jpg,https://en.wikipedia.org/wiki/Ivory-billed_aracari
ivory gull,"The ivory gull (Pagophila eburnea) is a small gull, the only species in the genus Pagophila. It breeds in the high Arctic and has a circumpolar distribution through Greenland, northernmost North America, and Eurasia.",https://upload.wikimedia.org/wikipedia/commons/a/a0/Ivory_Gull_1.jpg,https://en.wikipedia.org/wiki/Ivory_gull
iwi,"The ʻiʻiwi (pronounced , ee-EE-vee) (Drepanis coccinea) or scarlet honeycreeper is a species of Hawaiian honeycreeper. The ʻiʻiwi is a highly recognizable symbol of Hawaiʻi.",https://upload.wikimedia.org/wikipedia/commons/f/f4/Aves_Hawaiienses_%28Pl._5%29_%288465166422%29.jpg,https://en.wikipedia.org/wiki/%CA%BBI%CA%BBiwi
